tmID,year,points_prev1,oRebounds_prev1,dRebounds_prev1,assists_prev1,steals_prev1,blocks_prev1,turnovers_prev1,PF_prev1,confID,playoff,won_prev1
0,9,187.02947432076834,35.31672140021192,60.99046060318648,31.048148868619467,17.757694611689324,12.460988135946732,47.24593700581222,74.89083625116724,0,0,0.0
0,10,156.02668117302227,29.44635973001912,51.50797774976095,27.696034694646382,19.44649612986797,10.72009514811829,30.930255175500704,50.93860601684048,0,1,4.0
1,2,143.57424098687312,20.46119668446427,40.05478965423217,37.438972295200635,16.409054253842367,4.919944149618548,30.703754347453433,51.866071349590975,0,1,8.0
1,3,150.5183978107431,26.573347718593173,54.56488846884348,36.21658885426558,17.471332279229166,8.708833511882851,39.63725249263006,48.78742103411473,0,1,18.0
1,4,143.37937192661042,22.842384049958298,38.30874279988767,31.18676462184262,14.571280700415137,7.454021119956392,24.280765788283777,40.83152754164827,0,1,18.0
1,5,115.30863021074306,20.475498765051043,38.363352524332086,27.114498843184986,13.548151657463698,9.374506581772767,26.361665521049154,40.164667255841884,0,0,18.0
1,6,184.39092876956448,31.368886561425153,59.369399244180734,40.40179846496202,26.96471425841668,12.673518688075138,39.77590179929819,63.75916572415621,0,0,16.0
1,7,103.4675858366172,18.909819465632975,38.698274291664156,23.30281511714835,14.987098995187278,5.804532448434898,25.25826964624577,39.351493809304216,0,0,6.0
2,7,139.4609107991162,24.120702012038254,48.016194930567174,35.03709340587737,19.38107943379287,8.009225457840476,38.19984900973535,62.236776631374994,0,0,0.0
2,8,138.6669080618342,25.023657501118134,40.64319750452302,34.28527129826765,14.546995472465879,6.19650522022205,30.598474689755786,45.96105620279503,0,0,5.0
2,9,149.04167465091984,22.88282133619303,48.33819549824809,38.23447908436793,17.7421471323342,8.914242570342108,28.732413029616723,36.83306640213816,0,0,14.0
2,10,155.48641910970474,22.01012436595425,54.89155678494184,36.173874079366136,17.142960088332025,10.472469444637245,32.8418593463791,44.64626113224109,0,0,12.0
3,2,201.3599381895075,35.40399379774241,58.483462991474205,51.506822812249155,23.24494169054713,8.496543127989137,53.84994356044335,68.38368893812132,0,1,17.0
3,3,142.84020474322,29.318208491278643,51.84465148970216,29.299441215664004,17.375730868825656,16.526117930865894,37.64222980626672,42.89633849543098,0,0,22.0
3,4,159.05935818885493,28.959927332737685,45.69264614158513,23.864550908084297,11.935980775678011,5.372970297122287,28.267412049247714,51.440953815060325,0,1,10.0
4,4,150.62103093010313,26.880850833788863,47.25746456074022,35.34069206990915,19.9495258261454,9.811750589806923,31.992471856601668,46.53061529327893,0,1,0.0
4,5,102.40522869350293,16.11191398155705,34.27773782010529,20.604195806528303,10.681066778008358,4.996137750137096,17.638347948411436,29.951244310309203,0,1,18.0
4,6,134.47487756416936,20.960796783069753,45.975611183424405,36.03222610509269,17.769549319579678,8.588337911242943,30.11754763318021,40.1543906126884,0,1,18.0
4,7,152.87624620457618,27.161561448027037,53.28667527641683,34.91709773227063,14.257178353964541,7.3946182611147515,35.112046730334725,53.73188786572051,0,1,26.0
4,8,151.28431316489448,20.94592630643621,58.06050836125492,38.8283103441878,14.449933474502343,9.066668214584658,28.58154640764996,37.78313379259446,0,1,26.0
4,9,113.78975093211963,12.06466190664095,33.65290789039923,26.330276174698568,10.15767322459232,2.868232090685658,22.21782062014337,26.096262247353952,0,1,18.0
4,10,194.69487512805486,26.65545121204948,57.135982799305076,41.838619881329706,17.062489902904737,7.93737263593289,34.89651484291652,45.80411011245189,0,0,21.0
5,2,120.95909070834111,20.57876607533801,32.9058090751027,24.584364282230805,13.340132318029028,3.598367767715206,28.424422820110603,37.9554811331684,0,0,14.0
5,3,133.24051630757222,21.108930568997206,40.547267106372054,33.871454197446525,13.122160449111878,4.4812393277918545,32.538683658069935,45.46284523089697,0,0,10.0
5,4,161.57344938948336,31.751374597373562,52.71892929357975,45.67135466011857,22.656411893990608,12.534573810955893,46.395618447696535,53.728183516293605,0,1,9.0
5,5,134.18836651434165,26.366613247231673,55.762848795218936,30.383240305599895,18.590363830938816,9.641620374613602,33.3813157311127,43.1838891089365,0,1,25.0
5,6,194.74197987897676,29.59364906079549,61.769029352980404,49.226711810047306,21.23073775319337,11.026228025904377,42.345923334207804,59.00967107896634,0,1,17.0
5,7,146.2615919828976,27.239729027128845,52.51059843588842,31.275874703831903,13.809520821570487,12.104585525606383,38.6737531002999,53.30445429934988,0,1,16.0
5,8,175.11459077251496,31.300471309782232,61.80739428819,39.56070823676316,19.389383663608644,9.402211755807913,38.33752657103354,61.1828434266489,0,1,23.0
5,9,226.8075762350394,39.90342885896075,78.7126661500992,40.37468959014338,23.28544574471511,11.20825193759929,48.55170937106421,67.01983881236161,0,1,24.0
5,10,243.15899140247637,42.8248391442239,89.1202587178032,52.02279652269568,28.100406130832617,12.179178091096778,49.58714685596097,78.23597533819643,0,1,22.0
6,2,99.06984126261838,19.05886811085836,37.87763256819093,14.748120509232395,12.022517788716968,4.28358602437693,19.529906669252366,36.56777377459482,1,1,27.0
6,3,159.96058959176838,24.859152061418943,59.119779845540755,40.65425013668523,27.15241243127285,8.431382728397992,40.24978779400218,55.972953390464625,1,1,19.0
6,4,124.10272223191282,16.596199361638842,40.59681796833042,29.148977959546045,13.585557391142366,7.776227228647686,25.700009375443578,28.455678963312174,1,1,24.0
6,5,177.9941739644756,26.356483405180406,56.23206647125935,33.70788957855999,18.49010456143951,8.686789435225453,43.78708296645645,52.86303655616735,1,0,20.0
6,6,150.71208297367738,24.368281582372337,52.89874213679267,36.75072218975832,17.41273015271252,7.057799227422481,33.711738657887025,38.54516107397271,1,1,13.0
6,7,141.843988560638,23.77278080816873,50.04196895891533,37.8690442824323,17.69794223546873,7.183221653866351,30.430869974476266,49.452821606358,1,1,19.0
6,8,204.46729475340635,30.019228798905978,69.45929142676862,37.0607953947567,25.245871298362502,7.306487963738218,45.464538037082725,65.27582558382385,1,0,18.0
6,9,189.81119893144205,27.374526102017427,55.31965480231503,37.04768614336268,20.993258783357888,6.721448494346369,43.41566694539404,50.85449256249244,1,0,13.0
7,2,153.92138669558574,25.197093524424556,48.64936327754423,32.51555880471487,19.40085096875121,8.470222400846176,36.48703607276856,55.22604678282691,0,0,9.0
7,3,152.16804078383922,20.659187998884082,43.10320713123325,34.81558846541472,18.05648267043303,7.756045680579686,35.170899753746966,42.02463483703342,0,1,10.0
7,4,124.84763472144986,21.42104001385045,48.04244523141226,32.3954483362708,17.09378093249403,9.054048229295262,30.026620535510627,42.371567104196096,0,0,16.0
7,5,169.32633092119312,24.948026066517492,43.739790015431865,33.50937866430591,18.794734094686078,8.699481014440874,33.17713556019429,43.83955115420992,0,0,16.0
7,6,120.22973009163516,22.370914566536808,39.7022195003231,29.571291187239638,17.052655734712896,6.902661993820172,28.08370674431936,41.183152284229976,0,1,15.0
7,7,117.12236249473874,18.736713792077953,36.13189913767365,25.756609496269068,16.700929290954715,4.209082065969536,28.358896747072933,38.202795396132714,0,1,21.0
7,8,191.32476222039077,27.81515615583434,57.82356959061602,36.636274477002594,23.035089042311103,12.699490031757218,37.966769602412526,51.907534378676544,0,1,21.0
7,9,186.39156354468324,26.74130243105278,65.53976451130475,44.700106996338185,25.717501089524166,13.70131411524855,51.863190511084944,61.4567213078081,0,1,21.0
7,10,186.34483420587478,34.375178937566844,69.923776749332,37.63272640229345,26.26896516235448,14.863958512180883,45.229213351248035,75.37125734611313,0,1,17.0
8,2,155.9192814141904,21.652545311256695,52.16639481628954,39.006790436779006,18.075364069309632,9.369647620057151,31.44730058225894,47.54017738336676,1,1,28.0
8,3,167.06278063032394,25.534411719268586,50.82329027808431,37.53504039159434,17.438569067978957,9.321433472440486,30.94279239750415,47.574446174935446,1,1,28.0
8,4,191.83738431907142,28.831711453292076,58.988718983011644,42.611435612530016,20.47585523049605,11.333082743755,39.95479635270168,63.46014506914892,1,1,25.0
8,5,136.01557108591587,19.41004093941185,46.19680528712813,33.03559206143035,13.050528346182777,9.482557479213416,29.330414642276686,38.45387459137744,1,1,24.0
8,6,177.45392028552675,20.975604616914545,55.986934484251464,37.11332747027618,17.354348876281037,8.401111895445831,38.50840065139849,56.95148137667191,1,1,25.0
8,7,120.66557394997918,14.092337583799972,46.11318145768992,37.645101743353614,12.137883876922494,6.797552796822322,30.11311279958403,50.97152949481803,1,1,17.0
8,8,216.15169291752025,36.69663343643651,74.77107706631038,44.76762183733913,25.754902102460974,8.987505954948821,41.8106324446613,70.57244093918281,1,0,25.0
8,9,167.05215962642654,24.82618224679626,62.919167563531026,36.50530747176771,14.863557517008608,10.15447766335793,40.475620196440246,53.26702223361282,1,1,10.0
8,10,185.72771943785835,25.54404359315673,60.99376955667485,38.72629107844359,17.298917734800927,12.289539341115747,41.13982019793296,46.48019715010599,1,1,20.0
